"Site","Depth","ProjArea","StraightLength","StraightWidth","WLRatio","Volume","Age","keep"
"BOC",0,0.0449,0.4208,0.1731,0.4114,1,2020.9,TRUE
"BOC",0,0.045,0.3379,0.1787,0.5289,1,2020.9,TRUE
"BOC",0,0.0452,0.3109,0.1728,0.5558,1,2020.9,TRUE
"BOC",0,0.0458,0.6123,0.0985,0.1609,1,2020.9,TRUE
"BOC",0,0.0459,0.4671,0.1131,0.2421,1,2020.9,TRUE
"BOC",0,0.0459,0.4358,0.1358,0.3116,1,2020.9,TRUE
"BOC",0,0.046,0.3515,0.1849,0.526,1,2020.9,TRUE
"BOC",0,0.046,0.3587,0.2265,0.6314,1,2020.9,TRUE
"BOC",0,0.0468,0.57,0.1019,0.1788,1,2020.9,TRUE
"BOC",0,0.047,0.3153,0.2345,0.7437,1,2020.9,TRUE
"BOC",0,0.047,0.452,0.1539,0.3405,1,2020.9,TRUE
"BOC",0,0.0474,0.462,0.1446,0.313,1,2020.9,TRUE
"BOC",0,0.0475,0.2925,0.2521,0.8619,1,2020.9,TRUE
"BOC",0,0.0476,0.4078,0.1413,0.3465,1,2020.9,TRUE
"BOC",0,0.0477,0.3804,0.169,0.4443,1,2020.9,TRUE
"BOC",0,0.0478,0.419,0.2035,0.4857,1,2020.9,TRUE
"BOC",0,0.0479,0.3575,0.1993,0.5575,1,2020.9,TRUE
"BOC",0,0.0479,0.4793,0.1299,0.271,1,2020.9,TRUE
"BOC",0,0.0479,0.3825,0.173,0.4523,1,2020.9,TRUE
"BOC",0,0.048,0.5683,0.1135,0.1997,1,2020.9,TRUE
"BOC",0,0.0481,0.4915,0.1099,0.2236,1,2020.9,TRUE
"BOC",0,0.0486,0.397,0.1615,0.4068,1,2020.9,TRUE
"BOC",0,0.0491,0.4182,0.1649,0.3943,1,2020.9,TRUE
"BOC",0,0.0491,0.4261,0.1476,0.3464,1,2020.9,TRUE
"BOC",0,0.0492,0.3771,0.1845,0.4893,1,2020.9,TRUE
